feature,importance
price_lag_1h,0.6054401
price_rolling_mean_24h,0.20562479
renewable_share,0.023358535
hour,0.020580238
lignite_mw,0.019773727
is_weekend,0.012771046
solar_mw,0.012703414
renewable_generation_mw,0.011846102
price_lag_24h,0.011121726
price_lag_168h,0.008673846
day_of_week,0.008584927
shortwave_radiation,0.006759689
price_rolling_std_24h,0.0060895663
relative_humidity_2m,0.0043716435
hard_coal_mw,0.004286504
nuclear_mw,0.004132978
gas_mw,0.0036338514
biomass_mw,0.0035886504
month,0.0032303394
wind_total_mw,0.0030016913
load_lag_1h,0.0025869827
load_mw,0.0025797288
load_lag_24h,0.0025708554
temperature_2m,0.0025476108
hydro_mw,0.0021038165
load_rolling_mean_24h,0.0019756819
wind_onshore_mw,0.001908025
wind_offshore_mw,0.0018860506
cloud_cover,0.0012443912
wind_speed_10m,0.0010234679
