timestamp,market_price,demand_mw,supply_mw,weather_temperature,region,energy_source,hour,day,month,day_of_week,supply_demand_gap,anomaly_score,is_anomaly
2005-08-01,12.7,26405.94837,27726.2457885,9.9,CA,Mixed,0,1,8,Monday,1320.297418500002,-0.003052572796716335,-1
2006-08-01,13.96,27517.48049,28893.354514500003,9.9,CA,Mixed,0,1,8,Tuesday,1375.8740245000008,-0.08477709246943099,-1
2016-08-01,17.07,27016.02584,28366.827132,29.432258064516127,CA,Mixed,0,1,8,Monday,1350.801292,-0.03311876159641158,-1
2017-08-01,17.57,26750.18665,28087.6959825,29.72258064516129,CA,Mixed,0,1,8,Tuesday,1337.5093325000016,-0.014710676859675753,-1
2018-08-01,18.55,29874.59826,31368.328173,28.187096774193545,CA,Mixed,0,1,8,Wednesday,1493.7299130000029,-0.18685974881242817,-1
2021-02-01,18.65,16063.97068,16867.169214,10.125,CA,Mixed,0,1,2,Monday,803.198534000001,-0.0440623232397338,-1
2021-04-01,19.05,15304.45053,16069.673056500002,17.153333333333332,CA,Mixed,0,1,4,Thursday,765.2225265000015,-0.10676584239718734,-1
2021-07-01,20.87,26068.01914,27371.420097,32.48064516129032,CA,Mixed,0,1,7,Thursday,1303.400956999998,-0.019939208694308874,-1
2022-08-01,24.48,27435.43426,28807.205973000004,30.73225806451613,CA,Mixed,0,1,8,Monday,1371.771713000002,-0.1025697651669647,-1
2022-09-01,24.04,26005.26868,27305.532114,27.44,CA,Mixed,0,1,9,Thursday,1300.2634340000004,-0.006318394266419669,-1
2023-04-01,23.23,16261.33366,17074.400343,14.876666666666669,CA,Mixed,0,1,4,Saturday,813.0666830000009,-0.04426509747640406,-1
2023-08-01,27.68,25101.55563,26356.6334115,27.96451612903226,CA,Mixed,0,1,8,Tuesday,1255.0777815000001,-0.013184758592615364,-1
2024-06-01,27.66,20343.95263,21361.1502615,27.58,CA,Mixed,0,1,6,Saturday,1017.1976314999993,-0.0001233889327987292,-1
2024-07-01,30.36,25560.43547,26838.4572435,32.53225806451613,CA,Mixed,0,1,7,Monday,1278.0217735000006,-0.07129881347761102,-1
2024-08-01,29.07,25547.24336,26824.605528,28.44838709677419,CA,Mixed,0,1,8,Thursday,1277.3621679999997,-0.019861375945115833,-1
